error_id,gpt_tier,new_tier
day2_consultation07_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#0,3.0,3.0
day2_consultation07_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#1,3.0,3.0
day2_consultation07_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#2,4.0,4.0
day2_consultation07_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#3,3.0,4.0
day2_consultation07_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#4,3.0,3.0
day2_consultation07_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#5,3.0,3.0
day2_consultation07_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#6,3.0,3.0
day2_consultation06_google_gemini-3.1-pro-preview_parakeet-tdt-0.6b-v3_clean_baseline.json#0,3.0,3.0
day2_consultation06_google_gemini-3.1-pro-preview_parakeet-tdt-0.6b-v3_clean_baseline.json#1,4.0,4.0
day1_consultation05_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#0,4.0,3.0
day1_consultation05_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#1,4.0,4.0
day1_consultation05_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#2,3.0,3.0
day1_consultation05_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#3,2.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_whisper-large-v3-turbo_clean_baseline.json#0,4.0,4.0
day1_consultation07_google_gemini-3.1-pro-preview_whisper-large-v3-turbo_clean_baseline.json#1,2.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_whisper-large-v3-turbo_clean_baseline.json#2,3.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_whisper-large-v3-turbo_clean_baseline.json#3,3.0,3.0
day1_consultation07_google_gemini-3.1-pro-preview_whisper-large-v3-turbo_clean_baseline.json#4,3.0,3.0
day2_consultation10_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#0,4.0,4.0
day2_consultation06_anthropic_claude-sonnet-4.6_elevenlabs-scribe_clean_baseline.json#0,4.0,4.0
day2_consultation06_anthropic_claude-sonnet-4.6_elevenlabs-scribe_clean_baseline.json#1,4.0,4.0
day2_consultation06_anthropic_claude-sonnet-4.6_elevenlabs-scribe_clean_baseline.json#2,3.0,4.0
day2_consultation06_anthropic_claude-sonnet-4.6_elevenlabs-scribe_clean_baseline.json#3,4.0,4.0
day1_consultation05_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#0,3.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#1,4.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#2,4.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#3,2.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#4,4.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#5,4.0,4.0
day1_consultation05_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#6,3.0,4.0
day3_consultation01_openai_gpt-5.2_whisper-large-v3-turbo_clean_baseline.json#0,4.0,3.0
day3_consultation01_openai_gpt-5.2_whisper-large-v3-turbo_clean_baseline.json#1,4.0,3.0
day3_consultation01_openai_gpt-5.2_whisper-large-v3-turbo_clean_baseline.json#2,3.0,2.0
day3_consultation01_openai_gpt-5.2_whisper-large-v3-turbo_clean_baseline.json#3,3.0,2.0
day3_consultation01_openai_gpt-5.2_whisper-large-v3-turbo_clean_baseline.json#4,2.0,2.0
day1_consultation01_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#0,3.0,4.0
day1_consultation01_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#1,2.0,3.0
day1_consultation01_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#2,4.0,4.0
day1_consultation07_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#0,3.0,4.0
day1_consultation07_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#1,4.0,4.0
day1_consultation07_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#2,2.0,2.0
day1_consultation07_anthropic_claude-sonnet-4.6_omniasr-llm-7b-v2_clean_baseline.json#3,3.0,3.0
day1_consultation15_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#0,4.0,3.0
day1_consultation15_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#1,3.0,2.0
day1_consultation15_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#2,3.0,3.0
day1_consultation07_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#0,4.0,4.0
day1_consultation07_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#1,3.0,3.0
day1_consultation07_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#2,3.0,2.0
day1_consultation07_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#3,3.0,3.0
day1_consultation07_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#4,4.0,4.0
day1_consultation07_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#5,2.0,2.0
day1_consultation07_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#0,3.0,4.0
day1_consultation07_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#1,4.0,4.0
day1_consultation07_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#2,4.0,4.0
day1_consultation07_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#3,3.0,2.0
day1_consultation07_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#4,3.0,3.0
day1_consultation07_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#5,4.0,4.0
day1_consultation07_anthropic_claude-sonnet-4.6_granite-speech-3.3-2b_clean_baseline.json#6,2.0,2.0
day3_consultation04_anthropic_claude-sonnet-4.6_assemblyai-universal2_clean_baseline.json#0,3.0,2.0
day3_consultation04_anthropic_claude-sonnet-4.6_assemblyai-universal2_clean_baseline.json#1,4.0,4.0
day3_consultation04_anthropic_claude-sonnet-4.6_assemblyai-universal2_clean_baseline.json#2,4.0,4.0
day3_consultation04_anthropic_claude-sonnet-4.6_assemblyai-universal2_clean_baseline.json#3,3.0,3.0
day3_consultation04_anthropic_claude-sonnet-4.6_assemblyai-universal2_clean_baseline.json#4,3.0,4.0
day2_consultation06_google_gemini-3.1-pro-preview_canary-qwen-2.5b_clean_baseline.json#0,4.0,4.0
day2_consultation06_google_gemini-3.1-pro-preview_canary-qwen-2.5b_clean_baseline.json#1,3.0,4.0
day2_consultation06_google_gemini-3.1-pro-preview_canary-qwen-2.5b_clean_baseline.json#2,2.0,3.0
day1_consultation07_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#0,3.0,4.0
day1_consultation07_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#1,4.0,4.0
day1_consultation07_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#2,3.0,4.0
day1_consultation07_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#3,2.0,3.0
day1_consultation07_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#4,2.0,2.0
day3_consultation01_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#0,3.0,3.0
day3_consultation01_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#1,3.0,1.0
day3_consultation01_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#2,3.0,4.0
day3_consultation01_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#3,4.0,4.0
day3_consultation01_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#4,2.0,2.0
day3_consultation01_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#5,3.0,4.0
day1_consultation05_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#0,4.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#1,3.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#2,2.0,2.0
day1_consultation05_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#3,2.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#4,2.0,2.0
day1_consultation05_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#5,4.0,3.0
day3_consultation04_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#0,3.0,3.0
day3_consultation04_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#1,4.0,3.0
day3_consultation04_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#2,3.0,3.0
day3_consultation04_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#3,4.0,4.0
day3_consultation04_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#4,3.0,3.0
day3_consultation04_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#5,3.0,3.0
day3_consultation04_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#6,3.0,3.0
day3_consultation04_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#7,4.0,3.0
day2_consultation06_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#0,4.0,3.0
day2_consultation06_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#1,4.0,3.0
day3_consultation06_google_gemini-3.1-pro-preview_parakeet-tdt-0.6b-v3_clean_baseline.json#0,3.0,4.0
day3_consultation06_google_gemini-3.1-pro-preview_parakeet-tdt-0.6b-v3_clean_baseline.json#1,3.0,3.0
day3_consultation06_google_gemini-3.1-pro-preview_parakeet-tdt-0.6b-v3_clean_baseline.json#2,4.0,4.0
day3_consultation06_google_gemini-3.1-pro-preview_parakeet-tdt-0.6b-v3_clean_baseline.json#3,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#0,3.0,2.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#1,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#2,4.0,4.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#3,4.0,4.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#4,2.0,2.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#5,3.0,4.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#6,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#7,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#8,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#9,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_parakeet-tdt-0.6b-v3_clean_baseline.json#10,4.0,4.0
day3_consultation04_google_gemini-3.1-pro-preview_assemblyai-universal2_clean_baseline.json#0,3.0,4.0
day3_consultation04_google_gemini-3.1-pro-preview_assemblyai-universal2_clean_baseline.json#1,3.0,3.0
day3_consultation04_google_gemini-3.1-pro-preview_assemblyai-universal2_clean_baseline.json#2,3.0,4.0
day3_consultation04_google_gemini-3.1-pro-preview_assemblyai-universal2_clean_baseline.json#3,3.0,4.0
day3_consultation04_google_gemini-3.1-pro-preview_assemblyai-universal2_clean_baseline.json#4,3.0,4.0
day3_consultation04_google_gemini-3.1-pro-preview_assemblyai-universal2_clean_baseline.json#5,3.0,3.0
day1_consultation05_openai_gpt-5.2_whisper-large-v3-turbo_clean_baseline.json#0,4.0,3.0
day1_consultation05_openai_gpt-5.2_whisper-large-v3-turbo_clean_baseline.json#1,3.0,4.0
day1_consultation05_openai_gpt-5.2_whisper-large-v3-turbo_clean_baseline.json#2,3.0,4.0
day1_consultation02_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#0,4.0,4.0
day1_consultation02_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#1,4.0,4.0
day1_consultation02_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#2,3.0,3.0
day1_consultation02_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#3,3.0,3.0
day1_consultation02_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#4,4.0,4.0
day1_consultation02_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#5,4.0,4.0
day3_consultation06_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#0,4.0,4.0
day3_consultation06_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#1,3.0,4.0
day1_consultation15_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#0,4.0,3.0
day1_consultation15_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#1,3.0,3.0
day1_consultation15_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#2,4.0,3.0
day1_consultation15_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#3,3.0,3.0
day1_consultation15_openai_gpt-5.2_canary-qwen-2.5b_clean_baseline.json#4,3.0,3.0
day1_consultation05_google_gemini-3.1-pro-preview_assemblyai-universal2_clean_baseline.json#0,3.0,3.0
day2_consultation06_google_gemini-3.1-pro-preview_elevenlabs-scribe_clean_baseline.json#0,4.0,4.0
day2_consultation06_google_gemini-3.1-pro-preview_elevenlabs-scribe_clean_baseline.json#1,3.0,3.0
day2_consultation06_google_gemini-3.1-pro-preview_elevenlabs-scribe_clean_baseline.json#2,3.0,3.0
day1_consultation07_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#0,4.0,4.0
day1_consultation07_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#1,3.0,3.0
day1_consultation07_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#2,3.0,4.0
day1_consultation07_openai_gpt-5.2_cohere-transcribe-03-2026_clean_baseline.json#3,2.0,2.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#0,3.0,3.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#1,4.0,3.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#2,4.0,4.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#3,4.0,4.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#4,3.0,2.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#5,3.0,3.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#6,3.0,3.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#7,3.0,2.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#8,3.0,3.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#9,3.0,3.0
day2_consultation07_google_gemini-3.1-pro-preview_cohere-transcribe-03-2026_clean_baseline.json#10,3.0,2.0
day1_consultation02_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#0,3.0,3.0
day1_consultation02_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#1,3.0,4.0
day1_consultation02_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#2,3.0,3.0
day2_consultation07_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#0,3.0,3.0
day2_consultation07_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#1,4.0,3.0
day2_consultation07_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#2,4.0,4.0
day2_consultation07_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#3,4.0,4.0
day2_consultation07_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#4,3.0,2.0
day2_consultation07_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#5,3.0,3.0
day2_consultation07_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#6,4.0,4.0
day2_consultation07_openai_gpt-5.2_omniasr-llm-7b-v2_clean_baseline.json#7,4.0,4.0
day1_consultation15_google_gemini-3.1-pro-preview_omniasr-llm-7b-v2_clean_baseline.json#0,4.0,3.0
day1_consultation15_google_gemini-3.1-pro-preview_omniasr-llm-7b-v2_clean_baseline.json#1,3.0,3.0
day1_consultation01_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#0,3.0,4.0
day1_consultation01_openai_gpt-5.2_elevenlabs-scribe_clean_baseline.json#1,2.0,3.0
day2_consultation06_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#0,3.0,4.0
day2_consultation06_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#1,3.0,4.0
day2_consultation06_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#2,3.0,4.0
day2_consultation06_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#3,3.0,3.0
day2_consultation06_openai_gpt-5.2_granite-speech-3.3-2b_clean_baseline.json#4,2.0,3.0
day1_consultation02_openai_gpt-5.2_parakeet-tdt-0.6b-v3_clean_baseline.json#0,4.0,4.0
day1_consultation02_openai_gpt-5.2_parakeet-tdt-0.6b-v3_clean_baseline.json#1,4.0,4.0
day1_consultation02_openai_gpt-5.2_parakeet-tdt-0.6b-v3_clean_baseline.json#2,4.0,4.0
day1_consultation02_openai_gpt-5.2_parakeet-tdt-0.6b-v3_clean_baseline.json#3,3.0,3.0
day1_consultation02_openai_gpt-5.2_parakeet-tdt-0.6b-v3_clean_baseline.json#4,4.0,4.0
day1_consultation02_openai_gpt-5.2_parakeet-tdt-0.6b-v3_clean_baseline.json#5,3.0,3.0
day1_consultation02_openai_gpt-5.2_parakeet-tdt-0.6b-v3_clean_baseline.json#6,4.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#0,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#1,4.0,4.0
day2_consultation07_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#2,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#3,2.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#4,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#5,2.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_whisper-large-v3-turbo_clean_baseline.json#6,3.0,3.0
day3_consultation01_anthropic_claude-sonnet-4.6_canary-qwen-2.5b_clean_baseline.json#0,4.0,3.0
day3_consultation01_anthropic_claude-sonnet-4.6_canary-qwen-2.5b_clean_baseline.json#1,2.0,2.0
day3_consultation01_anthropic_claude-sonnet-4.6_canary-qwen-2.5b_clean_baseline.json#2,2.0,2.0
day3_consultation01_anthropic_claude-sonnet-4.6_canary-qwen-2.5b_clean_baseline.json#3,2.0,2.0
day3_consultation01_anthropic_claude-sonnet-4.6_canary-qwen-2.5b_clean_baseline.json#4,4.0,3.0
day3_consultation01_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#0,4.0,3.0
day3_consultation01_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#1,4.0,3.0
day3_consultation01_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#2,2.0,2.0
day3_consultation01_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#3,2.0,2.0
day3_consultation01_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#4,3.0,3.0
day3_consultation01_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#5,3.0,2.0
day3_consultation01_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#6,3.0,2.0
day3_consultation01_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#7,3.0,3.0
day3_consultation01_anthropic_claude-sonnet-4.6_cohere-transcribe-03-2026_clean_baseline.json#8,4.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_deepgram-nova3_clean_baseline.json#0,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_deepgram-nova3_clean_baseline.json#1,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_deepgram-nova3_clean_baseline.json#2,4.0,4.0
day2_consultation07_anthropic_claude-sonnet-4.6_deepgram-nova3_clean_baseline.json#3,4.0,4.0
day2_consultation07_anthropic_claude-sonnet-4.6_deepgram-nova3_clean_baseline.json#4,3.0,2.0
day2_consultation07_anthropic_claude-sonnet-4.6_deepgram-nova3_clean_baseline.json#5,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_deepgram-nova3_clean_baseline.json#6,3.0,3.0
day2_consultation07_anthropic_claude-sonnet-4.6_deepgram-nova3_clean_baseline.json#7,3.0,3.0
day3_consultation01_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#0,3.0,3.0
day3_consultation01_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#1,2.0,2.0
day3_consultation01_openai_gpt-5.2_deepgram-nova3_clean_baseline.json#2,3.0,3.0
day2_consultation06_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#0,3.0,4.0
day2_consultation06_google_gemini-3.1-pro-preview_granite-speech-3.3-2b_clean_baseline.json#1,4.0,4.0
day1_consultation15_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#0,4.0,3.0
day1_consultation15_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#1,2.0,3.0
day1_consultation15_openai_gpt-5.2_assemblyai-universal2_clean_baseline.json#2,3.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_elevenlabs-scribe_clean_baseline.json#0,4.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_elevenlabs-scribe_clean_baseline.json#1,3.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_elevenlabs-scribe_clean_baseline.json#2,2.0,3.0
day1_consultation05_anthropic_claude-sonnet-4.6_elevenlabs-scribe_clean_baseline.json#3,4.0,4.0
